locus_tag	ftype	length_bp	gene	EC_number	COG	product
GCF_000182345.1_ASM18234v1_00001	CDS	1371	cydA_1	7.1.1.7	COG1271	Cytochrome bd-I ubiquinol oxidase subunit 1
GCF_000182345.1_ASM18234v1_00002	CDS	1137	cydB	7.1.1.7	COG1294	Cytochrome bd-I ubiquinol oxidase subunit 2
GCF_000182345.1_ASM18234v1_00003	CDS	108	cydX	7.1.1.7	COG4890	Cytochrome bd-I ubiquinol oxidase subunit X
GCF_000182345.1_ASM18234v1_00004	CDS	303				hypothetical protein
GCF_000182345.1_ASM18234v1_00005	CDS	420	ybgC	3.1.2.-	COG0824	Acyl-CoA thioester hydrolase YbgC
GCF_000182345.1_ASM18234v1_00006	CDS	699	tolQ_1		COG0811	Tol-Pal system protein TolQ
GCF_000182345.1_ASM18234v1_00007	CDS	444	tolR_1		COG0848	Tol-Pal system protein TolR
GCF_000182345.1_ASM18234v1_00008	CDS	1071				hypothetical protein
GCF_000182345.1_ASM18234v1_00009	CDS	1353	tolB		COG0823	Tol-Pal system protein TolB
GCF_000182345.1_ASM18234v1_00010	CDS	525	pal_1		COG2885	Peptidoglycan-associated lipoprotein
GCF_000182345.1_ASM18234v1_00011	CDS	756	cpoB		COG1729	Cell division coordinator CpoB
GCF_000182345.1_ASM18234v1_00012	CDS	1062	nadA	2.5.1.72	COG0379	Quinolinate synthase A
GCF_000182345.1_ASM18234v1_00013	CDS	1044				hypothetical protein
GCF_000182345.1_ASM18234v1_00014	CDS	417				hypothetical protein
GCF_000182345.1_ASM18234v1_00015	CDS	570				hypothetical protein
GCF_000182345.1_ASM18234v1_00016	CDS	1167	ygiC	6.3.1.-	COG0754	Putative acid--amine ligase YgiC
GCF_000182345.1_ASM18234v1_00017	CDS	612				hypothetical protein
GCF_000182345.1_ASM18234v1_00018	CDS	2421	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
GCF_000182345.1_ASM18234v1_00019	CDS	450	alaE			L-alanine exporter AlaE
GCF_000182345.1_ASM18234v1_00020	tRNA	88				tRNA-Ser(gga)
GCF_000182345.1_ASM18234v1_00021	CDS	1137	xerC_1			Tyrosine recombinase XerC
GCF_000182345.1_ASM18234v1_00022	CDS	1791				hypothetical protein
GCF_000182345.1_ASM18234v1_00023	CDS	231				hypothetical protein
GCF_000182345.1_ASM18234v1_00024	CDS	243				hypothetical protein
GCF_000182345.1_ASM18234v1_00025	CDS	390				hypothetical protein
GCF_000182345.1_ASM18234v1_00026	CDS	630				hypothetical protein
GCF_000182345.1_ASM18234v1_00027	CDS	90				hypothetical protein
GCF_000182345.1_ASM18234v1_00028	CDS	522				hypothetical protein
GCF_000182345.1_ASM18234v1_00029	CDS	1239	intA_1		COG0582	Prophage integrase IntA
GCF_000182345.1_ASM18234v1_00030	CDS	723				hypothetical protein
GCF_000182345.1_ASM18234v1_00031	CDS	1875				hypothetical protein
GCF_000182345.1_ASM18234v1_00032	CDS	270				hypothetical protein
GCF_000182345.1_ASM18234v1_00033	CDS	1419				hypothetical protein
GCF_000182345.1_ASM18234v1_00034	CDS	786				hypothetical protein
GCF_000182345.1_ASM18234v1_00035	CDS	579				hypothetical protein
GCF_000182345.1_ASM18234v1_00036	CDS	3420	rep_1	3.6.4.12		ATP-dependent DNA helicase Rep
GCF_000182345.1_ASM18234v1_00037	CDS	741				hypothetical protein
GCF_000182345.1_ASM18234v1_00038	CDS	1179				hypothetical protein
GCF_000182345.1_ASM18234v1_00039	CDS	447				hypothetical protein
GCF_000182345.1_ASM18234v1_00040	CDS	2010				hypothetical protein
GCF_000182345.1_ASM18234v1_00041	CDS	1638				hypothetical protein
GCF_000182345.1_ASM18234v1_00042	CDS	702	rsuA	5.4.99.19	COG1187	Ribosomal small subunit pseudouridine synthase A
GCF_000182345.1_ASM18234v1_00043	CDS	1203	bcr_1			Bicyclomycin resistance protein
GCF_000182345.1_ASM18234v1_00044	CDS	660				hypothetical protein
GCF_000182345.1_ASM18234v1_00045	CDS	1983				hypothetical protein
GCF_000182345.1_ASM18234v1_00046	CDS	981				hypothetical protein
GCF_000182345.1_ASM18234v1_00047	CDS	2265				hypothetical protein
GCF_000182345.1_ASM18234v1_00048	CDS	624	fccA			Cytochrome subunit of sulfide dehydrogenase
GCF_000182345.1_ASM18234v1_00049	CDS	585	napC_1		COG3005	Cytochrome c-type protein NapC
GCF_000182345.1_ASM18234v1_00050	CDS	1479				hypothetical protein
GCF_000182345.1_ASM18234v1_00051	CDS	1377	norM_1		COG0534	Multidrug resistance protein NorM
GCF_000182345.1_ASM18234v1_00052	CDS	672			COG1136	putative ABC transporter ATP-binding protein
GCF_000182345.1_ASM18234v1_00053	CDS	2454				hypothetical protein
GCF_000182345.1_ASM18234v1_00054	CDS	1125				hypothetical protein
GCF_000182345.1_ASM18234v1_00055	CDS	1152	nhaA		COG3004	Na(+)/H(+) antiporter NhaA
GCF_000182345.1_ASM18234v1_00056	CDS	627				hypothetical protein
GCF_000182345.1_ASM18234v1_00057	CDS	2283	fadE_1	1.3.8.7	COG1960	Acyl-coenzyme A dehydrogenase
GCF_000182345.1_ASM18234v1_00058	CDS	1203	fabV_1	1.3.1.9	COG3007	Enoyl-[acyl-carrier-protein] reductase [NADH]
GCF_000182345.1_ASM18234v1_00059	CDS	1683	aspT			Aspartate/alanine antiporter
GCF_000182345.1_ASM18234v1_00060	CDS	267	grxA		COG0695	Glutaredoxin 1
GCF_000182345.1_ASM18234v1_00061	CDS	1239	dhaT	1.1.1.202	COG1454	1,3-propanediol dehydrogenase
GCF_000182345.1_ASM18234v1_00062	CDS	855	hexR		COG1737	HTH-type transcriptional regulator HexR
GCF_000182345.1_ASM18234v1_00063	CDS	1647	panP	4.1.1.11	COG0076	Aspartate 1-decarboxylase
GCF_000182345.1_ASM18234v1_00064	CDS	513				hypothetical protein
GCF_000182345.1_ASM18234v1_00065	CDS	906	lysO		COG2431	Lysine exporter LysO
GCF_000182345.1_ASM18234v1_00066	CDS	921				hypothetical protein
GCF_000182345.1_ASM18234v1_00067	CDS	582	tfoX1_1		COG3070	DNA transformation protein TfoX1
GCF_000182345.1_ASM18234v1_00068	CDS	546				hypothetical protein
GCF_000182345.1_ASM18234v1_00069	CDS	498	hupR1		COG2204	Hydrogenase transcriptional regulatory protein hupR1
GCF_000182345.1_ASM18234v1_00070	CDS	930	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
GCF_000182345.1_ASM18234v1_00071	CDS	996				hypothetical protein
GCF_000182345.1_ASM18234v1_00072	CDS	1266				hypothetical protein
GCF_000182345.1_ASM18234v1_00073	CDS	1095	serC	2.6.1.52	COG1932	Phosphoserine aminotransferase
GCF_000182345.1_ASM18234v1_00074	CDS	1332	dsdA	4.3.1.18	COG3048	D-serine dehydratase
GCF_000182345.1_ASM18234v1_00075	CDS	1722	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
GCF_000182345.1_ASM18234v1_00076	CDS	273	cydD_1		COG4988	ATP-binding/permease protein CydD
GCF_000182345.1_ASM18234v1_00077	CDS	1458	cydD_2		COG4988	ATP-binding/permease protein CydD
GCF_000182345.1_ASM18234v1_00078	CDS	960	trxB	1.8.1.9	COG0492	Thioredoxin reductase
GCF_000182345.1_ASM18234v1_00079	CDS	657				hypothetical protein
GCF_000182345.1_ASM18234v1_00080	CDS	1236	sufS	2.8.1.7	COG0520	Cysteine desulfurase SufS
GCF_000182345.1_ASM18234v1_00081	CDS	825				hypothetical protein
GCF_000182345.1_ASM18234v1_00082	CDS	1338				hypothetical protein
GCF_000182345.1_ASM18234v1_00083	CDS	1371	sdcS_1			Sodium-dependent dicarboxylate transporter SdcS
GCF_000182345.1_ASM18234v1_00084	CDS	735				hypothetical protein
GCF_000182345.1_ASM18234v1_00085	CDS	1689	maeA	1.1.1.38	COG0281	NAD-dependent malic enzyme
GCF_000182345.1_ASM18234v1_00086	CDS	2355	srmB_1	3.6.4.13		ATP-dependent RNA helicase SrmB
GCF_000182345.1_ASM18234v1_00087	CDS	759	pldA_1	3.1.1.32	COG2829	Phospholipase A1
GCF_000182345.1_ASM18234v1_00088	CDS	378				hypothetical protein
GCF_000182345.1_ASM18234v1_00089	CDS	1674	phoD	3.1.3.1	COG3540	Alkaline phosphatase D
GCF_000182345.1_ASM18234v1_00090	CDS	1104	purC	6.3.2.6		Phosphoribosylaminoimidazole-succinocarboxamide synthase
GCF_000182345.1_ASM18234v1_00091	CDS	393				hypothetical protein
GCF_000182345.1_ASM18234v1_00092	CDS	186				hypothetical protein
GCF_000182345.1_ASM18234v1_00093	CDS	975				hypothetical protein
GCF_000182345.1_ASM18234v1_00094	CDS	669	yiaD		COG2885	putative lipoprotein YiaD
GCF_000182345.1_ASM18234v1_00095	CDS	696				hypothetical protein
GCF_000182345.1_ASM18234v1_00096	CDS	681				hypothetical protein
GCF_000182345.1_ASM18234v1_00097	CDS	3039			COG0247	putative protein
GCF_000182345.1_ASM18234v1_00098	CDS	462				hypothetical protein
GCF_000182345.1_ASM18234v1_00099	CDS	726				hypothetical protein
GCF_000182345.1_ASM18234v1_00100	CDS	1536	hutH_1	4.3.1.3	COG2986	Histidine ammonia-lyase
GCF_000182345.1_ASM18234v1_00101	CDS	1698	hutU	4.2.1.49	COG2987	Urocanate hydratase
GCF_000182345.1_ASM18234v1_00102	CDS	1023	hutG_1	3.5.3.8	COG0010	Formimidoylglutamase
GCF_000182345.1_ASM18234v1_00103	CDS	1251	hutI	3.5.2.7	COG1228	Imidazolonepropionase
GCF_000182345.1_ASM18234v1_00104	CDS	708	frlR		COG2188	putative fructoselysine utilization operon transcriptional repressor
GCF_000182345.1_ASM18234v1_00105	CDS	744	spo0M_1		COG4326	Sporulation-control protein spo0M
GCF_000182345.1_ASM18234v1_00106	CDS	996				hypothetical protein
GCF_000182345.1_ASM18234v1_00107	CDS	1425	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
GCF_000182345.1_ASM18234v1_00108	CDS	1098	ybeZ		COG1702	PhoH-like protein
GCF_000182345.1_ASM18234v1_00109	CDS	465	ybeY	3.1.-.-	COG0319	Endoribonuclease YbeY
GCF_000182345.1_ASM18234v1_00110	CDS	900	corC		COG4535	Magnesium and cobalt efflux protein CorC
GCF_000182345.1_ASM18234v1_00111	CDS	1518	lnt	2.3.1.269	COG0815	Apolipoprotein N-acyltransferase
GCF_000182345.1_ASM18234v1_00112	CDS	471				hypothetical protein
GCF_000182345.1_ASM18234v1_00113	CDS	195				hypothetical protein
GCF_000182345.1_ASM18234v1_00114	CDS	612	ribC	2.5.1.9	COG0307	Riboflavin synthase
GCF_000182345.1_ASM18234v1_00115	CDS	1371	norM_2		COG0534	Multidrug resistance protein NorM
GCF_000182345.1_ASM18234v1_00116	CDS	1011				hypothetical protein
GCF_000182345.1_ASM18234v1_00117	CDS	843	ligA_1	6.5.1.1		DNA ligase
GCF_000182345.1_ASM18234v1_00118	CDS	321				hypothetical protein
GCF_000182345.1_ASM18234v1_00119	CDS	903	pal_2			Peptidoglycan-associated lipoprotein
GCF_000182345.1_ASM18234v1_00120	CDS	2103				hypothetical protein
GCF_000182345.1_ASM18234v1_00121	CDS	687				hypothetical protein
GCF_000182345.1_ASM18234v1_00122	CDS	381				hypothetical protein
GCF_000182345.1_ASM18234v1_00123	CDS	1545	luxO_1		COG2204	Regulatory protein LuxO
GCF_000182345.1_ASM18234v1_00124	CDS	1071	gtfA	2.4.1.-		UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase GtfA subunit
